1: ([37.514431, -122.172774], [37.752199, -122.188327])
2: ([37.759757, -122.161425], [37.825848, -122.114053])
3: ([37.597684, -122.181760], [37.690802, -122.163702])
4: ([37.557232, -122.330777], [37.590859, -122.125786])
5: ([37.457147, -122.175127], [37.670243, -122.100602]) 
6: ([37.696303, -122.317808], [37.699961, -122.247631]) 
7: ([37.536434, -122.067369], [37.461338, -122.075221]) 
8: ([37.526251, -122.106783], [37.545204, -122.144351]) 
9: ([37.708812, -122.138288], [37.478308, -122.164046]) 
10: ([37.703559, -122.101094], [37.602892, -122.030101]) 
11: ([37.630262, -122.161270], [37.781710, -122.186159]) 
12: ([37.746968, -122.075455], [37.751382, -122.022710]) 
13: ([37.498881, -122.292018], [37.586246, -122.068046]) 
14: ([37.462520, -122.370902], [37.793913, -122.193507]) 
15: ([37.565813, -122.207899], [37.769451, -122.195191])
